inflection_mae,inflection_mape,inflection_rmse,inflection_count,normal_mae,normal_mape,normal_rmse,normal_count,total_mape,total_mae,group,trial,period,n_features
40.170506,8.147406,45.47903,282,19.110023,4.079241,24.895077,12870,4.166469,19.561594,demand_only,1,summer,17
64.27715,12.7696085,68.095955,101,19.215546,4.0998898,24.899313,13051,4.166469,19.561594,demand_only,1,winter,17
47.372536,10.119833,52.75866,275,18.967667,4.039329,24.60244,12877,4.166469,19.561594,demand_only,1,transition,17
46.880733,9.681235,52.55004,658,18.122824,3.876032,23.230692,12494,4.166469,19.561594,demand_only,1,all,17
44.5326,9.01793,51.768826,282,26.120436,5.4845934,33.334835,12870,5.5603533,26.51522,demand_only,2,summer,17
69.0394,13.468622,73.97444,101,26.186132,5.499152,33.337063,13051,5.5603533,26.51522,demand_only,2,winter,17
50.119965,10.654956,56.773273,275,26.011122,5.451554,33.173237,12877,5.5603533,26.51522,demand_only,2,transition,17
50.62943,10.385259,57.754833,658,25.245243,5.306248,32.085377,12494,5.5603533,26.51522,demand_only,2,all,17
46.031075,9.1910515,51.176357,282,21.78735,4.680504,27.843166,12870,4.777217,22.307173,demand_only,3,summer,17
66.27428,13.135757,70.16019,101,21.966919,4.712531,27.9819,13051,4.777217,22.307173,demand_only,3,winter,17
47.715042,10.106581,53.50238,275,21.764566,4.6634035,27.767685,12877,4.777217,22.307173,demand_only,3,transition,17
49.8421,10.179175,55.44679,658,20.85704,4.492721,26.377537,12494,4.777217,22.307173,demand_only,3,all,17
44.391582,8.673084,52.1286,282,25.91893,5.184481,33.219948,12870,5.259282,26.315012,demand_only,4,summer,17
65.95257,12.770489,71.193756,101,26.00826,5.201154,33.282894,13051,5.259282,26.315012,demand_only,4,winter,17
52.387814,10.968843,58.1163,275,25.758204,5.13735,33.02037,12877,5.259282,26.315012,demand_only,4,transition,17
51.042988,10.261492,57.915165,658,25.012707,4.99584,31.960314,12494,5.259282,26.315012,demand_only,4,all,17
48.98768,9.555997,55.499302,282,25.52753,5.062232,33.133247,12870,5.158585,26.030554,demand_only,5,summer,17
65.318504,12.6873,69.66887,101,25.726511,5.100322,33.340355,13051,5.158585,26.030554,demand_only,5,winter,17
53.81956,11.290121,58.406464,275,25.437096,5.027641,33.042667,12877,5.158585,26.030554,demand_only,5,transition,17
53.51379,10.761385,59.083027,658,24.583143,4.8635125,31.883038,12494,5.158585,26.030554,demand_only,5,all,17
47.006058,9.252849,53.762558,282,23.94351,4.8637943,30.364172,12870,4.957903,24.43801,weather_full,1,summer,51
62.43217,12.061185,67.36104,101,24.143974,4.902931,30.60287,13051,4.957903,24.43801,weather_full,1,winter,51
53.00148,11.111957,58.072742,275,23.828007,4.8264775,30.211897,12877,4.957903,24.43801,weather_full,1,transition,51
51.87958,10.460899,57.833305,658,22.992788,4.668086,28.96238,12494,4.957903,24.43801,weather_full,1,all,51
39.39149,7.88653,46.422203,282,24.571867,4.9115,32.287037,12870,4.9752893,24.889627,weather_full,2,summer,51
65.91335,12.863391,70.284584,101,24.572147,4.9142447,32.19209,13051,4.9752893,24.889627,weather_full,2,winter,51
53.723385,11.420699,58.374516,275,24.273855,4.8376417,31.879583,12877,4.9752893,24.889627,weather_full,2,transition,51
49.452248,10.127502,55.731304,658,23.596025,4.7039466,30.96592,12494,4.9752893,24.889627,weather_full,2,all,51
51.291176,10.245051,56.876896,282,25.656502,5.381701,32.267548,12870,5.485979,26.206152,weather_full,3,summer,51
65.28141,12.80269,69.48843,101,25.903755,5.429355,32.54668,13051,5.485979,26.206152,weather_full,3,winter,51
54.341206,11.542597,58.90887,275,25.605305,5.3566346,32.20812,12877,5.485979,26.206152,weather_full,3,transition,51
54.713326,11.179924,59.8158,658,24.704813,5.1861057,30.937233,12494,5.485979,26.206152,weather_full,3,all,51
53.037594,10.517942,59.140694,282,26.067675,5.27782,33.735146,12870,5.3901772,26.645952,weather_full,4,summer,51
64.03765,12.48719,68.2761,101,26.356583,5.3352547,34.08483,13051,5.3901772,26.645952,weather_full,4,winter,51
54.709717,11.6086235,59.750233,275,26.046627,5.2573776,33.731216,12877,5.3901772,26.645952,weather_full,4,transition,51
55.424892,11.276045,60.88167,658,25.130302,5.080197,32.496853,12494,5.3901772,26.645952,weather_full,4,all,51
44.75521,8.946827,50.587036,282,24.335844,4.9755635,31.003115,12870,5.060714,24.773668,weather_full,5,summer,51
67.38287,12.982553,71.97504,101,24.443922,4.9994073,31.03332,13051,5.060714,24.773668,weather_full,5,winter,51
53.562885,11.379421,57.887146,275,24.15885,4.9257717,30.743301,12877,5.060714,24.773668,weather_full,5,transition,51
51.909473,10.582954,57.37913,658,23.344555,4.769883,29.571712,12494,5.060714,24.773668,weather_full,5,all,51
