MAPE,R2,RMSE,MAE,trial,group,n_features
4.166468977928162,0.9388368502259254,25.511265,19.561594,1,demand_only,17
5.560353770852089,0.8924094811081886,33.835617,26.51522,2,demand_only,17
4.777216911315918,0.9234290942549706,28.544271,22.307173,3,demand_only,17
5.259282886981964,0.893037348985672,33.736744,26.315012,4,demand_only,17
5.1585853099823,0.8928353562951088,33.768585,26.030554,5,demand_only,17
5.622991546988487,0.8725159764289856,36.831123,28.730051,6,demand_only,17
4.967289790511131,0.9108054637908936,30.807482,24.122913,7,demand_only,17
5.047724023461342,0.9007871448993683,32.491596,25.01607,8,demand_only,17
4.646901413798332,0.9221905767917633,28.774193,22.397121,9,demand_only,17
4.766331613063812,0.9137172177433968,30.300455,23.644293,10,demand_only,17
4.787866398692131,0.9168706312775612,29.7416,23.26401,1,weather_basic,23
5.108661949634552,0.899017259478569,32.78013,25.81087,2,weather_basic,23
6.706081330776215,0.8074609786272049,45.263325,34.613026,3,weather_basic,23
5.793195962905884,0.861410990357399,38.40179,29.917042,4,weather_basic,23
5.926520004868507,0.8652780652046204,37.862236,29.50022,5,weather_basic,23
4.4609010219573975,0.9310113117098808,27.094181,20.91061,6,weather_basic,23
4.720437154173851,0.9215850830078125,28.885935,22.635202,7,weather_basic,23
4.93365041911602,0.9095493629574776,31.02365,24.516176,8,weather_basic,23
5.276641622185707,0.8941124305129051,33.566772,26.33937,9,weather_basic,23
4.237205907702446,0.938070435076952,25.670605,19.810905,10,weather_basic,23
5.434585362672806,0.8836705908179283,35.18292,27.672009,1,weather_full,51
4.332181066274643,0.9312260374426842,27.051983,20.907225,2,weather_full,51
5.43864406645298,0.8966001644730568,33.170116,26.124968,3,weather_full,51
5.138098448514938,0.901647187769413,32.35046,25.364902,4,weather_full,51
4.692460596561432,0.9203990027308464,29.103573,22.747526,5,weather_full,51
5.1817964762449265,0.8936934173107147,33.63312,25.963345,6,weather_full,51
5.314243212342262,0.8960865139961243,33.252403,25.976511,7,weather_full,51
6.225144118070602,0.8668077290058136,37.64667,29.80845,8,weather_full,51
5.270138010382652,0.8906924054026604,34.10454,26.538853,9,weather_full,51
4.738030955195427,0.9174721017479897,29.633808,23.233536,10,weather_full,51
